method,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
robust,independent,0.0,20,normal,0.0,0.047400000000000005,0.004630334761116089,0.0,0.0,0.047400000000000005,0.004630334761116089,,,1000.0
interval,independent,0.0,20,normal,0.0,0.0426,0.003382306905057552,0.0094,0.0018547236990991407,0.0426,0.003382306905057552,,,1000.0
robust,moderate,0.0,20,normal,0.0,0.04479999999999999,0.007678541528180986,0.0,0.0,0.04479999999999999,0.007678541528180986,,,1000.0
interval,moderate,0.0,20,normal,0.0,0.040600000000000004,0.006183849933496122,0.008,0.0022803508501982755,0.040600000000000004,0.006183849933496122,,,1000.0
robust,independent,0.0,20,normal,0.5,0.7614000000000001,0.012370933675353702,0.0,0.0,,,0.7614000000000001,0.012370933675353702,1000.0
interval,independent,0.0,20,normal,0.5,0.7146,0.005535341001239224,0.029199999999999997,0.0071386273190298995,,,0.7146,0.005535341001239224,1000.0
robust,moderate,0.0,20,normal,0.5,0.7710000000000001,0.019555050498528525,0.0,0.0,,,0.7710000000000001,0.019555050498528525,1000.0
interval,moderate,0.0,20,normal,0.5,0.7529999999999999,0.019256167843057472,0.0222,0.006523802572120037,,,0.7529999999999999,0.019256167843057472,1000.0
robust,independent,0.0,20,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.0,20,normal,1.0,0.9998000000000001,0.00040000000000000034,0.0,0.0,,,0.9998000000000001,0.00040000000000000034,1000.0
robust,moderate,0.0,20,normal,1.0,0.9996,0.000489897948556636,0.0,0.0,,,0.9996,0.000489897948556636,1000.0
interval,moderate,0.0,20,normal,1.0,0.9996,0.000489897948556636,0.0,0.0,,,0.9996,0.000489897948556636,1000.0
robust,independent,0.1,20,normal,0.0,0.045599999999999995,0.004715930449020639,0.0,0.0,0.045599999999999995,0.004715930449020639,,,1000.0
interval,independent,0.1,20,normal,0.0,0.0392,0.005306599664568638,0.0086,0.0020591260281974002,0.0392,0.005306599664568638,,,1000.0
robust,moderate,0.1,20,normal,0.0,0.04139999999999999,0.006183849933496122,0.0,0.0,0.04139999999999999,0.006183849933496122,,,1000.0
interval,moderate,0.1,20,normal,0.0,0.038400000000000004,0.005388877434122991,0.007799999999999999,0.0026381811916545836,0.038400000000000004,0.005388877434122991,,,1000.0
robust,independent,0.1,20,normal,0.5,0.766,0.010733126291999,0.0,0.0,,,0.766,0.010733126291999,1000.0
interval,independent,0.1,20,normal,0.5,0.7163999999999999,0.0088453377549984,0.029000000000000005,0.003794733192202056,,,0.7163999999999999,0.0088453377549984,1000.0
robust,moderate,0.1,20,normal,0.5,0.7722,0.006997142273814367,0.0,0.0,,,0.7722,0.006997142273814367,1000.0
interval,moderate,0.1,20,normal,0.5,0.7542,0.008975522268926757,0.020399999999999998,0.007059745037889116,,,0.7542,0.008975522268926757,1000.0
robust,independent,0.1,20,normal,1.0,0.9997999999999999,0.00040000000000000034,0.0,0.0,,,0.9997999999999999,0.00040000000000000034,1000.0
interval,independent,0.1,20,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
