variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
original,independent,0.0,20,normal,0.0,0.041999999999999996,0.014696938456699069,0.0,0.0,0.041999999999999996,0.014696938456699069,,,100.0
modified,independent,0.0,20,normal,0.0,0.03,0.012649110640673518,0.026000000000000002,0.007999999999999997,0.03,0.012649110640673518,,,100.0
original,moderate,0.0,20,normal,0.0,0.046,0.01356465996625054,0.0,0.0,0.046,0.01356465996625054,,,100.0
modified,moderate,0.0,20,normal,0.0,0.036000000000000004,0.01019803902718557,0.018,0.014696938456699069,0.036000000000000004,0.01019803902718557,,,100.0
original,strong,0.0,20,normal,0.0,0.044,0.014966629547095768,0.0,0.0,0.044,0.014966629547095768,,,100.0
modified,strong,0.0,20,normal,0.0,0.038,0.019390719429665318,0.014000000000000002,0.011999999999999999,0.038,0.019390719429665318,,,100.0
original,independent,0.0,20,normal,0.5,0.558,0.044899888641287286,0.0,0.0,,,0.558,0.044899888641287286,100.0
modified,independent,0.0,20,normal,0.5,0.5319999999999999,0.05268775948927796,0.057999999999999996,0.019390719429665314,,,0.5319999999999999,0.05268775948927796,100.0
original,moderate,0.0,20,normal,0.5,0.618,0.017204650534085267,0.0,0.0,,,0.618,0.017204650534085267,100.0
modified,moderate,0.0,20,normal,0.5,0.558,0.021354156504062596,0.094,0.03382306905057553,,,0.558,0.021354156504062596,100.0
original,strong,0.0,20,normal,0.5,0.5840000000000001,0.08404760555780277,0.0,0.0,,,0.5840000000000001,0.08404760555780277,100.0
modified,strong,0.0,20,normal,0.5,0.548,0.07194442299441979,0.074,0.02727636339397171,,,0.548,0.07194442299441979,100.0
original,independent,0.1,20,normal,0.0,0.046,0.03136877428271625,0.0,0.0,0.046,0.03136877428271625,,,100.0
modified,independent,0.1,20,normal,0.0,0.03799999999999999,0.02785677655436824,0.02,0.01673320053068151,0.03799999999999999,0.02785677655436824,,,100.0
original,moderate,0.1,20,normal,0.0,0.048,0.029257477676655586,0.0,0.0,0.048,0.029257477676655586,,,100.0
